código;Material/produto;Quantidade na embalagem;Classificação;Tipo;
;Pouvilho azedo;1KG;Cozinha;Não empréstimo;
;Pouvilho doce;1KG;Cozinha;Não empréstimo;
;Alcool etilico;1L;Limpeza ;Não empréstimo;
;Argila verde;400G;N.C;Não empréstimo;
;Espuma;7;N.C;Não empréstimo;
;Loção pre depilatoria;500ML;N.C;Não empréstimo;
;Esfoliante;150G;N.C;Não empréstimo;
;Papel filme;100M;N.C;Não empréstimo;
;Lamina de barbear;10;N.C;Não empréstimo;
;Pasta modeladora;150G;N.C;Não empréstimo;
;Creme pre barba;300G;N.C;Não empréstimo;
;Agua facial;500ML;N.C;Não empréstimo;
;Oleo para barba;30ML;N.C;Não empréstimo;
;Sraving gel;750ML;N.C;Não empréstimo;
;Papel aluminio;7.5M;Cozinha;Não empréstimo;
;Touca descartavel;100;Higiene;Não empréstimo;
;Compressa de gaze;500;N.C;Não empréstimo;
;Algodão;500G;N.C;Não empréstimo;
;Shantilly;1KL;Cozinha;Não empréstimo;
;Doce de leite;800G;Cozinha;Não empréstimo;
;Chá mate;40G;Cozinha;Não empréstimo;
;Fermento ;250G;Cozinha;Não empréstimo;
;Ovo;25;Cozinha;Não empréstimo;
;Ziper ;3;Escritório ;Não empréstimo;
;Cera liquida;5L;Limpeza ;Não empréstimo;
;Tecidos;5M;Escritório ;Não empréstimo;
;Agulha de costura;10;Escritório ;Não empréstimo;
;Açucar;5KG;Cozinha;Não empréstimo;
;Ovo;30;Cozinha;Não empréstimo;
;Feijão;500G;Cozinha;Não empréstimo;
; Açucar de confeiteiro;1KG;Cozinha;Não empréstimo;
;Azeitona verde;3KG;Cozinha;Não empréstimo;
;Paprica doce;1KG;Cozinha;Não empréstimo;
;Caldo de galinha;1KG;Cozinha;Não empréstimo;
;Molho de tomate;1KG;Cozinha;Não empréstimo;
;Canela em po;1KG;Cozinha;Não empréstimo;
;Caldo de carne;1KG;Cozinha;Não empréstimo;
;Shantilly;1KG;Cozinha;Não empréstimo;
;Cerejas;950G;Cozinha;Não empréstimo;
;Amendoim torrado;1KG;Cozinha;Não empréstimo;
;Queijo;300G;Cozinha;Não empréstimo;
;Plastico filme;30M;Cozinha;Não empréstimo;
;Po de café;1KG;Cozinha;Não empréstimo;
;Farinha de trigo;25KG;Cozinha;Não empréstimo;
;chocolate em barra ;1KG;Cozinha;Não empréstimo;
;Cravo;250G;Cozinha;Não empréstimo;
;Chocolate;500G;Cozinha;Não empréstimo;
;Fermento ;500G;Cozinha;Não empréstimo;
;Curry;250G;Cozinha;Não empréstimo;
;Fondant;2KG;Cozinha;Não empréstimo;
;Leite condensado;400G;Cozinha;Não empréstimo;
;Forma de cupcake;45;Cozinha;Não empréstimo;
;Hortelã;60G;Cozinha;Não empréstimo;
;Molho de tomate;2KG;Cozinha;Não empréstimo;
;Exencia de baunilha;1KG;Cozinha;Não empréstimo;
;Gelatina sem sabor;500G;Cozinha;Não empréstimo;
;Granulado;400G;Cozinha;Não empréstimo;
;Gordura;400G;Cozinha;Não empréstimo;
;Amido de milho;500G;Cozinha;Não empréstimo;
;Milho ;260G;Cozinha;Não empréstimo;
;Chocolate em po;1KG;Cozinha;Não empréstimo;
;Molho ingles;900G;Cozinha;Não empréstimo;
;Biscoito;350G;Cozinha;Não empréstimo;
;Cominho em po;500G;Cozinha;Não empréstimo;
;Açucar mascavo;500G;Cozinha;Não empréstimo;
;Cereal;300G;Cozinha;Não empréstimo;
;Sal;2KG;Cozinha;Não empréstimo;
;Feijão preto;1KG;Cozinha;Não empréstimo;
;Creme de leite(culinario);1KG;Cozinha;Não empréstimo;
;Azeite;500ML;Cozinha;Não empréstimo;
;Saco para confeitar;25;Cozinha;Não empréstimo;
;Baunilha branca;30G;Cozinha;Não empréstimo;
;Ameixa preta;500G;Cozinha;Não empréstimo;
;Goiabada;1KG;Cozinha;Não empréstimo;
;Coco ralado;1KG;Cozinha;Não empréstimo;
;Pasta americana;800G;Cozinha;Não empréstimo;
;Açucar refinado ;1KG;Cozinha;Não empréstimo;
;Toicinho;1KG;Cozinha;Não empréstimo;
;Costelinha;1KG;Cozinha;Não empréstimo;
;Banha de porco;2.5KG;Cozinha;Não empréstimo;
;Pano de chão;8;Limpeza ;Não empréstimo;
;Fermento ;100G;Cozinha;Não empréstimo;
;Biscoito;345G;Cozinha;Não empréstimo;
;Sucos;9;Cozinha;Não empréstimo;
;Cloro ativo;500g;Limpeza ;Não empréstimo;
;Ovo;12;Cozinha;Não empréstimo;
;Arroz;5Kg;Cozinha;Não empréstimo;
;Açucar;5Kg;Cozinha;Não empréstimo;
;Manteiga de garrafa;900Ml;Cozinha;Não empréstimo;
;Mel;1.4KG;Cozinha;Não empréstimo;
;Vinagre de arroz;750ML;Cozinha;Não empréstimo;
;Goiabada cascas;3;Cozinha;Não empréstimo;
;Paprica defumada;500G;Cozinha;Não empréstimo;
;Milho em conserva;280G;Cozinha;Não empréstimo;
;Lentilha;500G;Cozinha;Não empréstimo;
;Massa de alho;1KG;Cozinha;Não empréstimo;
;Farinnha de rosca;500G;Cozinha;Não empréstimo;
;Biscoito maria;360G;Cozinha;Não empréstimo;
;Chantilly;1L;Cozinha;Não empréstimo;
;Açucar de confeiteiro;1KG;Cozinha;Não empréstimo;
;Açucar mascavo;1Kg;Cozinha;Não empréstimo;
;Cereal;500G;Cozinha;Não empréstimo;
;Doce de leite;1KG;Cozinha;Não empréstimo;
;Cobertura fracionada branco;1KG;Cozinha;Não empréstimo;
;Cobertura fracionada meio amargo;1KG;Cozinha;Não empréstimo;
;Corante artificial;25G;Cozinha;Não empréstimo;
;Coco ralado;250G;Cozinha;Não empréstimo;
;Gelatina sem sabor;510G;Cozinha;Não empréstimo;
;Canela em po;500G;Cozinha;Não empréstimo;
;Paprica doce;100G;Cozinha;Não empréstimo;
;Uva passa;300G;Cozinha;Não empréstimo;
;Vinho tinto;750G;Cozinha;Não empréstimo;
;Amendoim moido;500G;Cozinha;Não empréstimo;
;Trigo para Kibe ;500G;Cozinha;Não empréstimo;
;Vinagre de alcool;1L;Cozinha;Não empréstimo;
